,itemid
0,0
1,100278
2,100279
3,100281
4,100282
5,100544
6,101059
7,101068
8,101457
9,101458
10,101459
11,101466
12,101467
13,101989
14,102109
15,102140
16,102141
17,102143
18,102144
19,102145
20,102335
21,102368
22,102371
23,102379
24,102411
25,104508
26,104576
27,105049
28,105061
29,105194
30,105206
31,105213
32,105530
33,105537
34,105551
35,105553
36,105818
37,105966
38,106121
39,106723
40,106856
41,106859
42,106860
43,106872
44,107257
45,107262
46,107269
47,107344
48,107351
49,107789
50,107792
51,107795
52,107802
53,107971
54,108217
55,108416
56,108422
57,108425
58,108460
59,108470
60,108482
61,108771
62,108953
63,108991
64,109005
65,109565
66,109568
67,109572
68,109574
69,109578
70,109579
71,109768
72,110195
73,110950
74,110953
75,110992
76,110995
77,110999
78,111986
79,112269
80,112273
81,112993
82,113244
83,113878
84,113881
85,114684
86,114923
87,114930
88,114945
89,122608
90,122640
91,122643
92,122647
93,122648
94,122649
95,122651
96,122653
97,122654
98,122655
99,122656
100,122658
101,122661
102,122672
103,122747
104,122749
105,122751
106,122758
107,123678
108,123799
109,123827
110,124018
111,124161
112,124212
113,124468
114,124473
115,124488
116,124489
117,124496
118,124511
119,124539
120,137511
121,137555
122,137577
123,137987
124,137990
125,138121
126,140478
127,140564
128,140572
129,147174
130,147259
131,147627
132,148147
133,148315
134,148420
135,149410
136,149802
137,150921
138,150922
139,150930
140,150934
141,150939
142,150940
143,151078
144,151082
145,151118
146,151121
147,151782
148,153432
149,153767
150,154297
151,154385
152,155244
153,155809
154,156130
155,156265
156,156992
157,157009
158,157210
159,157330
160,157478
161,157608
162,157720
163,157749
164,158608
165,158665
166,159257
167,159270
168,159715
169,160191
170,161172
171,161614
172,161891
173,163549
174,163859
175,164738
176,165608
177,165764
178,174484
179,177771
180,177949
181,178934
182,179163
183,179174
184,179197
185,180709
186,181967
187,185456
188,186079
189,186252
190,187450
191,188103
192,192041
193,194252
194,199268
195,200448
196,200556
197,201628
198,206082
199,208314
200,209197
201,209655
202,211323
203,211681
204,211701
205,214554
206,217476
207,217610
208,217760
209,217931
210,219493
211,224210
212,227747
213,227755
214,230310
215,233860
216,235214
217,236669
218,238319
219,241658
220,241672
221,243706
222,246468
223,250392
224,250426
225,251714
226,252822
227,254819
228,258537
229,258771
230,259175
231,261701
232,261712
233,266816
234,269029
235,271420
236,271454
237,271526
238,272554
239,278594
240,282142
241,282157
242,282708
243,282732
244,282738
245,284007
246,289650
247,292176
248,295730
249,296665
250,296824
251,299910
252,300324
253,303412
254,310062
255,313048
256,318379
257,323879
258,338397
259,339806
260,340385
261,340391
262,341847
263,342319
264,342498
265,344344
266,346780
267,357304
268,358514
269,359143
270,363091
271,368356
272,368458
273,368727
274,369961
275,370772
276,373324
277,378333
278,379363
279,382023
280,382480
281,384758
282,387750
283,387853
284,387924
285,394408
286,398274
287,398371
288,398503
289,400779
290,400945
291,409840
292,410207
293,410214
294,413010
295,413076
296,413090
297,413327
298,413410
299,413414
300,413435
301,417119
302,418132
303,421283
