,userid
0,0
1,10002
2,10026
3,10050
4,10057
5,10058
6,10095
7,10107
8,10108
9,10116
10,10124
11,10147
12,10155
13,10159
14,10174
15,10214
16,10268
17,10287
18,10295
19,10308
20,10310
21,10359
22,10360
23,10370
24,10388
25,10394
26,10398
27,10420
28,10461
29,10484
30,10509
31,10520
32,10523
33,10530
34,10563
35,11117
36,11122
37,11171
38,11271
39,11285
40,11304
41,11351
42,11355
43,11358
44,11405
45,11570
46,11671
47,11702
48,11714
49,11733
50,11918
51,12521
52,12571
53,12584
54,12597
55,12672
56,12695
57,12713
58,12763
59,12805
60,12816
61,13140
62,13214
63,13253
64,13277
65,13313
66,13870
67,14061
68,14062
69,14125
70,14683
71,14710
72,14750
73,14869
74,14930
75,14947
76,14962
77,15041
78,15226
79,15252
80,15624
81,15626
82,15730
83,15804
84,15975
85,16368
86,16393
87,16410
88,16586
89,16650
90,16666
91,16673
92,16892
93,17147
94,17315
95,17532
96,17696
97,17851
98,18132
99,18326
100,18359
101,18360
102,18407
103,18791
104,18793
105,18961
106,19014
107,19015
108,19071
109,19095
110,19190
111,19216
112,19288
113,19302
114,19355
115,19368
116,19428
117,19482
118,19609
119,19623
120,19666
121,19669
122,19739
123,19782
124,19881
125,19901
126,19931
127,20088
128,20162
129,20210
130,20533
131,20545
132,20659
133,20667
134,20845
135,20929
136,21010
137,21399
138,21421
139,21525
140,21758
141,21799
142,21815
143,22184
144,22284
145,22395
146,22629
147,22645
148,22652
149,22721
150,22945
151,23196
152,23251
153,23571
154,23743
155,24078
156,24526
157,25553
158,26574
159,26661
160,26682
161,26763
162,26950
163,27174
164,27198
165,27201
166,27256
167,27595
168,27635
169,27649
170,27837
171,27907
172,28421
173,28555
174,28755
175,28796
176,28811
177,29258
178,29583
179,29685
180,29774
181,29829
182,30093
183,30135
184,30354
185,30360
186,30727
187,30826
188,30920
189,31421
190,31670
191,31915
192,32672
193,33173
194,33203
195,33434
196,33896
197,34931
198,35575
199,36174
200,36283
201,36437
202,36698
203,36843
204,38259
205,39301
206,39509
207,39605
208,39802
209,40095
210,40292
211,40475
212,40851
213,40966
214,41933
215,42240
216,42406
217,42474
218,42818
219,43419
220,43561
221,43623
222,44583
223,44599
224,45365
225,45383
226,45436
227,45794
228,46093
229,46387
230,46434
231,46553
232,46591
233,46903
234,47115
235,47176
236,47398
237,47620
238,47872
239,48282
240,49180
241,49683
242,49742
243,49935
244,50686
245,50805
246,51133
247,51520
248,52088
249,52204
250,52217
251,52535
252,52710
253,53246
254,53796
255,53922
256,54113
257,54630
258,54823
259,55877
260,55882
261,56418
262,56976
263,57342
264,57376
265,59065
266,59176
267,59264
268,59437
269,61253
270,62001
271,63028
272,63087
273,64170
274,64329
275,64666
276,65613
277,66099
278,66285
279,68142
280,68258
281,68665
282,68751
283,68767
284,68806
285,68866
286,68869
287,68884
288,68964
